166,274,164
188,293,291
179,177,102
364,457,365
385,387,287
546,545,618
606,659,664
551,549,625
266,157,264
719,710,750
570,494,574
666,671,722
437,446,337
660,600,602
326,424,426
562,485,490
479,626,741
728,730,774
227,341,448
586,617,696
783,720,768
216,202,92
291,182,188
576,579,655
86,248,239
648,572,579
413,309,315
633,681,630
480,477,386
783,755,756
373,363,454
474,475,547
281,278,172
164,159,114
94,92,202
223,111,220
179,100,182
474,380,382
173,106,104
186,290,292
396,300,309
454,363,455
277,280,170
241,242,95
243,91,93
554,481,478
53,232,229
602,535,611
473,387,385
698,595,501
316,525,214
463,538,461
150,151,122
604,534,600
363,273,269
614,543,539
669,611,612
292,393,294
206,443,308
781,778,751
660,661,600
289,476,472
769,733,729
52,9,226
513,587,557
587,644,636
211,209,57
781,751,754
754,794,781
786,764,785
769,694,788
472,550,639
651,691,743
643,705,697
669,662,611
353,22,147
717,709,749
716,754,712
717,659,709
609,724,688
615,720,693
755,783,782
683,679,627
793,779,757
674,726,725
507,579,502
763,793,757
441,346,162
527,283,514
651,520,361
239,88,86
737,775,657
194,293,188
169,166,110
315,419,413
477,552,548
556,480,482
188,98,96
253,248,84
315,309,216
449,338,248
562,490,572
358,43,250
447,429,341
630,559,633
490,413,502
447,317,599
490,502,572
447,231,317
775,737,637
559,630,556
450,598,275
681,736,683
548,475,477
383,286,386
284,177,286
482,480,388
386,388,480
392,483,482
635,562,637
383,477,475
480,552,477
619,545,541
276,169,278
619,618,545
723,766,763
466,546,544
670,725,723
671,666,613
613,544,616
612,538,540
264,370,266
263,368,366
262,367,264
367,463,370
602,611,662
462,368,458
613,616,671
161,266,269
535,538,611
373,277,273
369,266,370
116,155,118
268,265,159
531,537,603
151,262,153
365,460,367
173,104,177
169,110,108
150,120,152
166,164,112
138,136,174
164,268,159
155,152,118
151,153,124
161,128,157
178,181,140
313,314,217
174,280,285
292,290,389
634,638,560
303,200,301
215,313,217
414,504,415
415,318,314
314,414,415
215,212,312
311,412,312
218,217,314
215,312,313
218,314,318
313,414,314
119,212,215
321,223,320
220,318,320
225,223,321
442,344,252
97,240,241
335,437,337
337,339,242
249,91,243
522,342,249
252,87,251
421,321,418
220,113,218
237,234,331
225,109,223
237,334,240
521,428,431
305,203,303
301,199,298
312,412,410
500,571,578
336,244,340
343,2,83
236,244,336
438,339,340
339,446,340
329,333,431
324,325,224
336,597,444
426,330,326
517,588,420
325,232,224
509,417,415
422,594,501
574,494,497
503,408,498
489,567,644
395,397,296
481,393,389
487,563,488
478,481,389
695,636,644
408,306,405
492,570,567
285,385,287
672,614,667
387,389,290
387,473,478
381,469,385
629,551,625
469,464,543
534,454,533
625,549,623
473,469,549
782,768,789
462,530,459
607,608,663
530,532,459
607,663,665
761,794,758
711,794,761
758,759,761
560,487,484
553,628,550
295,513,436
636,776,631
712,660,662
602,533,535
747,567,646
703,584,642
629,625,682
686,628,631
569,575,703
214,12,219
308,595,406
573,496,493
316,505,525
589,583,505
444,332,233
10,52,224
219,316,214
505,594,525
229,327,323
319,416,316
489,400,492
489,398,400
594,422,525
210,13,350
210,422,443
497,584,652
689,748,735
769,788,733
798,706,786
748,689,577
187,436,183
557,631,553
435,289,472
472,639,748
61,184,180
183,436,440
471,601,581
195,528,256
267,158,160
411,586,471
348,411,384
147,433,411
432,510,254
142,432,254
70,154,29
146,352,65
697,705,784
601,696,706
704,705,643
142,141,66
66,24,142
705,581,601
175,282,176
767,720,792
175,176,68
519,376,282
158,267,439
